common_id	label	type	code0	code1	code2	code3	name0	name1	name2	name3	type_label
1	耳鼻科用剤（一般薬）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 耳鼻科用剤（一般薬）
2	オランザピン	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 オランザピン
3	リスペリドン	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 リスペリドン
4	ビペリデン塩酸塩	drug	1	11	116	1162	神経系及び感覚器官用医薬品	中枢神経系用薬	抗パーキンソン剤	ビペリデン製剤	【drug】 ビペリデン塩酸塩
5	クロルプロマジン塩酸塩	drug	1	11	117	1171	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	クロルプロマジン製剤	【drug】 クロルプロマジン塩酸塩
6	精神神経用剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 精神神経用剤
7	クアゼパム	drug	1	11	112	1124	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	ベンゾジアゼピン系製剤	【drug】 クアゼパム
8	ゾピクロン	drug	1	11	112	1129	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	その他の催眠鎮静剤，抗不安剤	【drug】 ゾピクロン
9	ペロスピロン塩酸塩水和物	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 ペロスピロン塩酸塩水和物
10	クエチアピンフマル酸塩	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 クエチアピンフマル酸塩
11	バルプロ酸ナトリウム	drug	1	11	113	1139	神経系及び感覚器官用医薬品	中枢神経系用薬	抗てんかん剤	その他の抗てんかん剤	【drug】 バルプロ酸ナトリウム
12	ゲムシタビン塩酸塩	drug	4	42	422	4224	組織細胞機能用医薬品	腫瘍用薬	代謝拮抗剤	シトシン系製剤	【drug】 ゲムシタビン塩酸塩
13	プレドニゾロン	drug	2	24	245	2456	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	副腎ホルモン剤	プレドニゾロン系製剤	【drug】 プレドニゾロン
13	プレドニゾロン	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 プレドニゾロン
14	フェンタニル	drug	8	82	821	8219	麻薬	非アルカロイド系麻薬	合成麻薬	その他の合成麻薬	【drug】 フェンタニル
15	モルヒネ硫酸塩水和物	drug	8	81	811	8114	麻薬	アルカロイド系麻薬（天然麻薬）	あへんアルカロイド系麻薬	モルヒネ系製剤	【drug】 モルヒネ硫酸塩水和物
16	ラニチジン塩酸塩	drug	2	23	232	2325	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	Ｈ２遮断剤	【drug】 ラニチジン塩酸塩
17	モルヒネ塩酸塩水和物	drug	8	81	811	8114	麻薬	アルカロイド系麻薬（天然麻薬）	あへんアルカロイド系麻薬	モルヒネ系製剤	【drug】 モルヒネ塩酸塩水和物
18	アテノロール	drug	2	21	212	2123	個々の器官系用医薬品	循環器官用薬	不整脈用剤	β－遮断剤	【drug】 アテノロール
19	プラバスタチンナトリウム	drug	2	21	218	2189	個々の器官系用医薬品	循環器官用薬	高脂血症用剤	その他の高脂血症用剤	【drug】 プラバスタチンナトリウム
20	タムスロシン塩酸塩	drug	2	25	259	2590	個々の器官系用医薬品	泌尿生殖器官及び肛門用薬	その他の泌尿生殖器官及び肛門用薬	nan	【drug】 タムスロシン塩酸塩
21	リルマザホン塩酸塩水和物	drug	1	11	112	1129	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	その他の催眠鎮静剤，抗不安剤	【drug】 リルマザホン塩酸塩水和物
22	インフリキシマブ（遺伝子組換え）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 インフリキシマブ（遺伝子組換え）
23	メサラジン	drug	2	23	239	2399	個々の器官系用医薬品	消化器官用薬	その他の消化器官用薬	他に分類されない消化器官用薬	【drug】 メサラジン
24	メトトレキサート	drug	3	39	399	3999	代謝性医薬品	その他の代謝性医薬品	他に分類されない代謝性医薬品	他に分類されないその他の代謝性医薬品	【drug】 メトトレキサート
24	メトトレキサート	drug	4	42	422	4222	組織細胞機能用医薬品	腫瘍用薬	代謝拮抗剤	メトトレキサート製剤	【drug】 メトトレキサート
25	プレドニゾロンコハク酸エステルナトリウム	drug	2	24	245	2456	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	副腎ホルモン剤	プレドニゾロン系製剤	【drug】 プレドニゾロンコハク酸エステルナトリウム
26	葉酸	drug	3	31	313	3135	代謝性医薬品	ビタミン剤	ビタミンＢ剤（ビタミンＢ１剤を除く。）	葉酸製剤	【drug】 葉酸
27	セビメリン塩酸塩水和物	drug	2	23	239	2399	個々の器官系用医薬品	消化器官用薬	その他の消化器官用薬	他に分類されない消化器官用薬	【drug】 セビメリン塩酸塩水和物
28	レボチロキシンナトリウム水和物	drug	2	24	243	2431	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	甲状腺，副甲状腺ホルモン剤	甲状腺ホルモン製剤	【drug】 レボチロキシンナトリウム水和物
29	スリンダク	drug	1	11	114	1149	神経系及び感覚器官用医薬品	中枢神経系用薬	解熱鎮痛消炎剤	その他の解熱鎮痛消炎剤	【drug】 スリンダク
30	ファモチジン	drug	2	23	232	2325	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	Ｈ２遮断剤	【drug】 ファモチジン
31	フロセミド	drug	2	21	213	2139	個々の器官系用医薬品	循環器官用薬	利尿剤	その他の利尿剤	【drug】 フロセミド
32	ジアゼパム	drug	1	11	112	1124	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	ベンゾジアゼピン系製剤	【drug】 ジアゼパム
33	アルファカルシドール	drug	3	31	311	3112	代謝性医薬品	ビタミン剤	ビタミンＡ及びＤ剤	合成ビタミンＤ製剤	【drug】 アルファカルシドール
34	オキサゾラム	drug	1	11	112	1124	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	ベンゾジアゼピン系製剤	【drug】 オキサゾラム
35	副腎ホルモン剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 副腎ホルモン剤
36	アロプリノール	drug	3	39	394	3943	代謝性医薬品	その他の代謝性医薬品	痛風治療剤	アロプリノール製剤	【drug】 アロプリノール
37	エカベトナトリウム水和物	drug	2	23	232	2329	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	その他の消化性潰瘍用剤	【drug】 エカベトナトリウム水和物
38	カンデサルタン　シレキセチル	drug	2	21	214	2149	個々の器官系用医薬品	循環器官用薬	血圧降下剤	その他の血圧降下剤	【drug】 カンデサルタン　シレキセチル
39	マニジピン塩酸塩	drug	2	21	214	2149	個々の器官系用医薬品	循環器官用薬	血圧降下剤	その他の血圧降下剤	【drug】 マニジピン塩酸塩
40	ラタノプロスト	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 ラタノプロスト
41	ベタキソロール塩酸塩	drug	2	21	214	2149	個々の器官系用医薬品	循環器官用薬	血圧降下剤	その他の血圧降下剤	【drug】 ベタキソロール塩酸塩
41	ベタキソロール塩酸塩	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 ベタキソロール塩酸塩
42	シアノコバラミン	drug	3	31	313	3136	代謝性医薬品	ビタミン剤	ビタミンＢ剤（ビタミンＢ１剤を除く。）	ビタミンＢ１２剤	【drug】 シアノコバラミン
42	シアノコバラミン	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 シアノコバラミン
43	ドルゾラミド塩酸塩	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 ドルゾラミド塩酸塩
44	サラゾスルファピリジン	drug	6	62	621	6219	病原生物に対する医薬品	化学療法剤	サルファ剤	その他のサルファ剤	【drug】 サラゾスルファピリジン
45	ベタメタゾンリン酸エステルナトリウム	drug	2	24	245	2454	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	副腎ホルモン剤	フッ素付加副腎皮質ホルモン製剤	【drug】 ベタメタゾンリン酸エステルナトリウム
45	ベタメタゾンリン酸エステルナトリウム	drug	1	13	131	1315	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	眼科用コルチゾン製剤；コルチゾン点眼液及び眼軟膏剤	【drug】 ベタメタゾンリン酸エステルナトリウム
46	テプレノン	drug	2	23	232	2329	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	その他の消化性潰瘍用剤	【drug】 テプレノン
47	アズレンスルホン酸ナトリウム水和物・Ｌ－グルタミン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 アズレンスルホン酸ナトリウム水和物・Ｌ－グルタミン
48	アジスロマイシン水和物	drug	6	61	614	6149	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性菌，マイコプラズマに作用するもの	その他の主としてグラム陽性菌，マイコプラズマに作用するもの	【drug】 アジスロマイシン水和物
